k,alpha,stable
0.8888888888888888,35.938136638046295,True
0.8888888888888888,39.810717055349734,True
0.8888888888888888,44.100594541767364,True
0.8888888888888888,48.852735715193916,True
0.8888888888888888,54.116952654646376,True
0.8888888888888888,59.948425031894146,True
0.8888888888888888,66.40827850634845,True
0.8888888888888888,73.56422544596414,True
0.8888888888888888,81.49127469020749,True
0.8888888888888888,90.27251779484578,True
0.8888888888888888,100.0,True
1.1111111111111112,0.01,True
1.1111111111111112,0.011077568505097092,True
1.1111111111111112,0.012271252398511897,True
1.1111111111111112,0.013593563908785255,True
1.1111111111111112,0.015058363542798407,True
1.1111111111111112,0.016681005372000592,True
1.1111111111111112,0.018478497974222907,True
1.1111111111111112,0.02046968271807521,True
1.1111111111111112,0.02267543125870802,True
1.1111111111111112,0.025118864315095794,True
1.1111111111111112,0.027825594022071243,True
1.1111111111111112,0.030823992397451434,True
1.1111111111111112,0.034145488738336005,True
1.1111111111111112,0.037824899063893865,True
1.1111111111111112,0.04190079105786669,True
1.1111111111111112,0.046415888336127795,True
1.1111111111111112,0.051417518276839276,True
1.1111111111111112,0.056958108107376865,True
1.1111111111111112,0.06309573444801933,True
1.1111111111111112,0.06989473207273486,True
1.1111111111111112,0.0774263682681127,True
1.1111111111111112,0.08576958985908942,True
1.1111111111111112,0.0950118507318144,True
1.1111111111111112,0.10525002852777332,True
1.1111111111111112,0.11659144011798317,True
1.1111111111111112,0.1291549665014884,True
1.1111111111111112,0.14307229891937578,True
1.1111111111111112,0.15848931924611134,True
1.1111111111111112,0.17556762912750015,True
1.1111111111111112,0.19448624389373625,True
1.1111111111111112,0.21544346900318845,True
1.1111111111111112,0.2386589786858581,True
1.1111111111111112,0.26437611857491,True
1.1111111111111112,0.29286445646252374,True
1.1111111111111112,0.324422607917163,True
1.1111111111111112,0.35938136638046275,True
1.1111111111111112,0.3981071705534973,True
1.1111111111111112,0.44100594541767385,True
1.1111111111111112,0.4885273571519389,True
1.1111111111111112,0.5411695265464638,True
1.1111111111111112,0.5994842503189411,True
1.1111111111111112,0.6640827850634842,True
1.1111111111111112,0.7356422544596414,True
1.1111111111111112,0.8149127469020745,True
1.1111111111111112,0.9027251779484579,True
1.1111111111111112,1.0,True
1.1111111111111112,1.1077568505097097,True
1.1111111111111112,1.2271252398511903,True
1.1111111111111112,1.3593563908785256,True
1.1111111111111112,1.5058363542798414,True
1.1111111111111112,1.6681005372000592,True
1.1111111111111112,1.8478497974222907,True
1.1111111111111112,2.046968271807522,True
1.1111111111111112,2.267543125870802,True
1.1111111111111112,2.5118864315095797,True
1.1111111111111112,2.782559402207126,True
1.1111111111111112,3.0823992397451434,True
1.1111111111111112,3.414548873833601,True
1.1111111111111112,3.782489906389386,True
1.1111111111111112,4.190079105786669,True
1.1111111111111112,4.641588833612782,True
1.1111111111111112,5.141751827683928,True
1.1111111111111112,5.695810810737687,True
1.1111111111111112,6.309573444801936,True
1.1111111111111112,6.989473207273487,True
1.1111111111111112,7.742636826811269,True
1.1111111111111112,8.576958985908945,True
1.1111111111111112,9.50118507318144,True
1.1111111111111112,10.525002852777327,True
1.1111111111111112,11.659144011798324,True
1.1111111111111112,12.91549665014884,True
1.1111111111111112,14.307229891937586,True
1.1111111111111112,15.848931924611142,True
1.1111111111111112,17.556762912750013,True
1.1111111111111112,19.448624389373634,True
1.1111111111111112,21.544346900318846,True
1.1111111111111112,23.865897868585808,True
1.1111111111111112,26.437611857491014,True
1.1111111111111112,29.286445646252375,True
1.1111111111111112,32.4422607917163,True
1.1111111111111112,35.938136638046295,True
1.1111111111111112,39.810717055349734,True
1.1111111111111112,44.100594541767364,True
1.1111111111111112,48.852735715193916,True
1.1111111111111112,54.116952654646376,True
1.1111111111111112,59.948425031894146,True
1.1111111111111112,66.40827850634845,True
1.1111111111111112,73.56422544596414,True
1.1111111111111112,81.49127469020749,True
1.1111111111111112,90.27251779484578,True
1.1111111111111112,100.0,True
1.3333333333333333,0.01,True
1.3333333333333333,0.011077568505097092,True
1.3333333333333333,0.012271252398511897,True
1.3333333333333333,0.013593563908785255,True
1.3333333333333333,0.015058363542798407,True
1.3333333333333333,0.016681005372000592,True
1.3333333333333333,0.018478497974222907,True
1.3333333333333333,0.02046968271807521,True
1.3333333333333333,0.02267543125870802,True
1.3333333333333333,0.025118864315095794,True
1.3333333333333333,0.027825594022071243,True
1.3333333333333333,0.030823992397451434,True
1.3333333333333333,0.034145488738336005,True
1.3333333333333333,0.037824899063893865,True
1.3333333333333333,0.04190079105786669,True
1.3333333333333333,0.046415888336127795,True
1.3333333333333333,0.051417518276839276,True
1.3333333333333333,0.056958108107376865,True
1.3333333333333333,0.06309573444801933,True
1.3333333333333333,0.06989473207273486,True
1.3333333333333333,0.0774263682681127,True
1.3333333333333333,0.08576958985908942,True
1.3333333333333333,0.0950118507318144,True
