fear_form,k_fear,x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z
quadratic,2.333333333333333,29.99999997124026,29.999998990273472,30.000000105244673,1.1149712015878777e-06,3.716570675522389e-08,0.8245138615647903,0.8245138576190219,0.8245138733565274,1.5737505520974082e-08,1.9087011455559794e-08,0.8245138615526175,0.8245138288182856,0.8245139009961605,7.217787489910421e-08,8.753991687065232e-08
quadratic,2.5,29.999999960454456,29.999999020917574,30.000000072932938,1.0520153637116891e-06,3.506717883661349e-08,0.7778014760814106,0.7778014732663582,0.7778014910876443,1.7821286113495205e-08,2.2912384022792704e-08,0.7778014760948648,0.7778014457406571,0.7778015047125719,5.897191479586894e-08,7.581872316812188e-08
quadratic,2.6666666666666665,29.99999995467674,29.999999137580517,30.000000056213086,9.186325691246111e-07,3.06210856837476e-08,0.7361736975700535,0.7361736954035522,0.7361737136718628,1.8268310642000074e-08,2.4815217797477566e-08,0.736173697593385,0.73617366929408,0.7361737370129656,6.771888561019068e-08,9.198764616486238e-08
quadratic,2.833333333333333,29.999999952884135,29.999999265528828,30.000000041817408,7.762885800843833e-07,2.587628604345137e-08,0.6988336484823924,0.6988336467153935,0.6988336642448716,1.7529478091304895e-08,2.5083906777166984e-08,0.698833648483943,0.6988336216570621,0.6988336824953623,6.083830017544756e-08,8.70569130541206e-08
quadratic,3.0,29.999999954090182,29.999999426636116,30.00000003482658,6.081904651011882e-07,2.0273015534396614e-08,0.6651442460632997,0.6651442445667648,0.665144260575038,1.6008273151513208e-08,2.4067370718810495e-08,0.6651442460402183,0.6651442209381591,0.665144281123238,6.018507892058267e-08,9.048425101591132e-08
quadratic,3.1666666666666665,29.99999995746138,29.999999551291943,30.000000029212035,4.779200928339833e-07,1.5930669783721204e-08,0.6345897608260179,0.6345897595290979,0.6345897735722124,1.4043114449080463e-08,2.2129437497981406e-08,0.6345897608443624,0.6345897369882146,0.6345897911768108,5.418859616579397e-08,8.539153876924705e-08
quadratic,3.333333333333333,29.999999962218546,29.999999642607765,30.000000025297332,3.826895671465991e-07,1.2756318920951288e-08,0.606748030411988,0.6067480292754924,0.6067480411558616,1.1880369132910573e-08,1.9580399997053314e-08,0.6067480304060611,0.6067480077740875,0.6067480569988165,4.922472895962926e-08,8.112878244797086e-08
quadratic,3.5,29.999999967880388,29.999999711070714,30.00000002226497,3.111942561417891e-07,1.0373141882498667e-08,0.5812700181260761,0.581270017129346,0.5812700268042035,9.67485747072061e-09,1.6644342851011302e-08,0.5812700181592492,0.5812699965494571,0.581270047431344,5.0881886926035236e-08,8.753571547880474e-08
quadratic,3.6666666666666665,29.999999973970233,29.999999763670235,30.000000082181007,3.185107715353297e-07,1.0617025727055926e-08,0.5578645358918879,0.5578645350212809,0.5578645426416176,7.620336694991181e-09,1.3659833534308614e-08,0.5578645359220774,0.5578645151273487,0.5578645621631597,4.703581102383225e-08,8.43140368225843e-08
quadratic,3.833333333333333,29.999999980192793,29.99999980459259,30.00000019464573,3.900531382328154e-07,1.300177128301104e-08,0.5362866638826167,0.536286663125985,0.5362866691713438,6.045358769135589e-09,1.1272625586765541e-08,0.5362866638874307,0.5362866438836433,0.5362866884951525,4.461150915346934e-08,8.318593796460756e-08
quadratic,4.0,29.99999998636118,29.999999837695917,30.000000314376695,4.7668077840512524e-07,1.588935928739405e-08,0.5163288590503619,0.516328858398708,0.5163288632495868,4.850878809747883e-09,9.394940307346527e-09,0.5163288590550492,0.5163288399357614,0.5163288814503489,4.151458754542148e-08,8.040338403961831e-08
